"Latitude","Longitude","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
30.1768641,-81.7443613,"120190303012033","12019","12","FL","OK"
41.733697,-87.8234721,"170318206052008","17031","17","IL","OK"
37.6879753,-97.3275424,"201730043002025","20173","20","KS","OK"
39.114818,-94.649653,"202090416003004","20209","20","KS","OK"
36.8983939,-87.154684,"212199501001048","21219","21","KY","OK"
36.7007529,-89.5486513,"291439602001031","29143","29","MO","OK"
41.4990089,-81.6856375,"390351077011039","39035","39","OH","OK"
35.1544529,-89.904184,"471570098002003","47157","47","TN","OK"
39.7522595,-121.6077546,"060070020006006","06007","06","CA","OK"
34.767772,-97.184055,"400496812001122","40049","40","OK","OK"
36.031978,-94.277362,"051430105063038","05143","05","AR","OK"
30.8103934,-81.998145,"130490101004109","13049","13","GA","OK"
47.7495205,-116.8142775,"160550007001068","16055","16","ID","OK"
41.7482816,-88.3020729,"170898543013003","17089","17","IL","OK"
35.1208734,-89.9361224,"471570073003004","47157","47","TN","OK"
41.4662514,-81.6214702,"390351145013010","39035","39","OH","OK"
40.0011798,-75.0971772,"421010382003019","42101","42","PA","OK"
35.4524573,-97.4889998,"401091053002034","40109","40","OK","OK"
40.363964,-76.547605,"420750024001016","42075","42","PA","OK"
38.2556599,-120.3309152,"060090005031009","06009","06","CA","OK"
36.7117974,-119.5575528,"060190060002001","06019","06","CA","OK"
32.7637099,-116.4928209,"060730211001014","06073","06","CA","OK"
40.6713644,-73.7826239,"360810294005004","36081","36","NY","OK"
29.5202321,-98.573218,"480291810031008","48029","48","TX","OK"
40.6006609,-124.155562,"060230108003015","06023","06","CA","OK"
28.0391568,-82.0035934,"121050120021048","12105","12","FL","OK"
25.985034,-80.250295,"120111103202007","12011","12","FL","OK"
38.6692356,-90.2551361,"295101067004007","29510","29","MO","OK"
36.1908039,-115.1594285,"320030003024003","32003","32","NV","OK"
32.6917388,-117.1124283,"060730036011028","06073","06","CA","OK"
28.0603784,-82.8228401,"121030271064004","12103","12","FL","OK"
36.8473168,-76.1565419,"518100406003005","51810","51","VA","OK"
39.2332525,-81.6405125,"541070109014007","54107","54","WV","OK"
38.4377125,-121.4455975,"060670096141025","06067","06","CA","OK"
42.5333127,-82.928312,"260992550003010","26099","26","MI","OK"
40.6907545,-112.0679444,"490351139051004","49035","49","UT","OK"
37.159486,-79.0758062,"510310208003011","51031","51","VA","OK"
34.0776266,-117.6232329,"060710013051006","06071","06","CA","OK"
34.1349828,-116.3107509,"060710104192049","06071","06","CA","OK"
41.1791955,-85.0940655,"180030103041010","18003","18","IN","OK"
35.083652,-106.5557516,"350010006031006","35001","35","NM","OK"
32.1776268,-110.9863544,"040190025013008","04019","04","AZ","OK"
32.1776268,-110.9863544,"040190025013008","04019","04","AZ","OK"
33.7443556,-116.9107667,"060650437022018","06065","06","CA","OK"
36.1115487,-95.9838945,"401430044001010","40143","40","OK","OK"
40.3909008,-80.5975498,"540090311014084","54009","54","WV","OK"
34.2341062,-118.3638415,"060371021071010","06037","06","CA","OK"
38.0367667,-121.3364762,"060770032083005","06077","06","CA","OK"
41.8602447,-87.7029681,"170318431001019","17031","17","IL","OK"
40.6693207,-74.1267903,"340170106004004","34017","34","NJ","OK"
35.040264,-107.493674,"350069461003169","35006","35","NM","OK"
41.481255,-81.6661858,"390359801001043","39035","39","OH","OK"
35.5067215,-97.7625441,"400173013001056","40017","40","OK","OK"
42.3950262,-83.1690467,"261635366001002","26163","26","MI","OK"
40.0131801,-75.0704118,"421010298004020","42101","42","PA","OK"
39.1759109,-78.1123098,"510690511011000","51069","51","VA","OK"
32.2575552,-110.9468247,"040190015002000","04019","04","AZ","OK"
41.00547,-91.169535,"190570010003018","19057","19","IA","OK"
42.4380577,-71.0342123,"250173419021001","25017","25","MA","OK"
38.9676467,-77.0776655,"240317053001024","24031","24","MD","OK"
38.9676467,-77.0776655,"240317053001024","24031","24","MD","OK"
38.9679501,-77.0774536,"240317053001024","24031","24","MD","OK"
43.4083063,-83.9254687,"261450009003025","26145","26","MI","OK"
34.1577857,-118.1510995,"060374616003001","06037","06","CA","OK"
34.206632,-118.368884,"060371230201005","06037","06","CA","OK"
27.606711,-99.530977,"484790017112034","48479","48","TX","OK"
41.860424,-87.735125,"170312909003012","17031","17","IL","OK"
31.8725972,-102.376838,"481350006003011","48135","48","TX","OK"
29.7071862,-95.1733799,"482013228003003","48201","48","TX","OK"
32.3239553,-106.7767372,"350130004011006","35013","35","NM","OK"
33.8978332,-84.455471,"130670303453000","13067","13","GA","OK"
39.3408663,-76.6617954,"245102716003013","24510","24","MD","OK"
38.8999342,-76.9278058,"110010078091004","11001","11","DC","OK"
42.0024004,-83.3165638,"261158302003050","26115","26","MI","OK"
38.6667056,-90.2757275,"295101061001010","29510","29","MO","OK"
41.5866134,-81.2037623,"390553122011000","39055","39","OH","OK"
41.8918378,-87.7113187,"170312315001006","17031","17","IL","OK"
40.0037864,-75.1453239,"421010199004008","42101","42","PA","OK"
41.686281,-87.6180819,"170314914002022","17031","17","IL","OK"
39.3153247,-76.6342678,"245101301003003","24510","24","MD","OK"
30.3033628,-89.3845218,"280450302002002","28045","28","MS","OK"
32.7142936,-96.6905393,"481130093041028","48113","48","TX","OK"
39.7243331,-86.0583736,"180973614002015","18097","18","IN","OK"
37.6298254,-97.3672702,"201730053005010","20173","20","KS","OK"
40.2717394,-76.8487983,"420430216003004","42043","42","PA","OK"
36.0872394,-87.0990216,"470210704023001","47021","47","TN","OK"
28.362103,-82.180876,"121010327001040","12101","12","FL","OK"
39.1993344,-96.6150777,"201610006004020","20161","20","KS","OK"
38.8608003,-91.9786814,"290270704004010","29027","29","MO","OK"
37.7608984,-86.4404041,"210279602001049","21027","21","KY","OK"
38.7590366,-90.1959887,"291892102002056","29189","29","MO","OK"
36.0799978,-95.9592132,"401430068031009","40143","40","OK","OK"
34.7689259,-81.7151225,"450870307001017","45087","45","SC","OK"
42.5047761,-88.9436169,"551050026022033","55105","55","WI","OK"
34.5429708,-117.3470687,"060710091102057","06071","06","CA","OK"
41.5339214,-88.0434146,"171978822003026","17197","17","IL","OK"
29.5453693,-98.5026097,"480291912011002","48029","48","TX","OK"
30.3628393,-81.6096354,"120310148001018","12031","12","FL","OK"
30.2970771,-97.6849063,"484530021071003","48453","48","TX","OK"
38.036109,-121.3483634,"060770032133002","06077","06","CA","OK"
26.8121458,-80.091994,"120990009031006","12099","12","FL","OK"
42.1233145,-72.7483262,"250138127022007","25013","25","MA","OK"
34.2005819,-118.536068,"060371310202000","06037","06","CA","OK"
40.91726,-80.438858,"420730113002054","42073","42","PA","OK"
25.8502275,-80.2255195,"120860010022019","12086","12","FL","OK"
41.066125,-85.1205198,"180030017001006","18003","18","IN","OK"
38.9140702,-76.8663191,"240338034023004","24033","24","MD","OK"
43.4017539,-83.93816,"261450010006014","26145","26","MI","OK"
42.6852108,-84.0747347,"260937201002019","26093","26","MI","OK"
43.397815,-83.957044,"261450011001043","26145","26","MI","OK"
35.1000267,-78.9210036,"370510024012019","37051","37","NC","OK"
26.2471887,-98.4721993,"482150242032029","48215","48","TX","OK"
31.0923278,-93.7379571,"483519501002094","48351","48","TX","OK"
48.817198,-122.548143,"530730002001023","53073","53","WA","OK"
34.495241,-118.6241123,"060379201161000","06037","06","CA","OK"
34.1862075,-118.5968095,"060371349051003","06037","06","CA","OK"
41.4224869,-81.760532,"390351371012026","39035","39","OH","OK"
29.4053089,-98.5110558,"480291601004008","48029","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
26.2351813,-98.3824824,"482150202011017","48215","48","TX","OK"
